,Prey/Predator,Baleen whales,Toothed whales,Beaked whales,Seabirds,Pelagic sharks,Yellowfin,Bluefin,Skipjack,Albacore,Bigeye,Swordfish,Billfishes,Lg. Plank. fish,Lg. Epi. fish,Md. Epi. fish,Sm. Epi. fish,Lg. Meso fish,Sm. Meso fish,Sm. Bathyp. fish,Md. Bathyp.fish,Lg. Bathyp. fish,Sm. Bathyd. slp,Lg. Bathyd. slp,Sm. Bathyd. abs,Lg. Bathyd. abs,Sm Squids,Lg Squids,Benth. ceph.,Meiobenthos,Macrobenthos,Megabenthos,Mesozooplankton,Microzooplankton,LL Procholorococcus,HL Procholorococcus,Synechococcus,A. Eukaryotes,Diatoms,PO4,DOP,Fast sinking detritus,Slow sinking detritus
1,Baleen whales,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Toothed whales,,0.00,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Beaked whales,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Seabirds,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Pelagic sharks,,,,,0.01,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Yellowfin,,,,,0.00,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Bluefin,,,,,0.00,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Skipjack,,,,,0.00,0.16,,,0.03,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Albacore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Bigeye,,,,,0.02,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Swordfish,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Billfishes,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Lg. Plank. fish,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Lg. Epi. fish,,,,,0.10,,,,,,,0.32,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Md. Epi. fish,,,,,0.07,0.16,0.08,,0.10,0.15,0.22,0.35,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Sm. Epi. fish,0.14,0.03,0.00,0.19,0.14,,0.62,,0.14,0.05,,0.06,0.08,0.45,0.25,,,,,,,,,,,0.07,0.17,,,,,,,,,,,,,,,
17,Lg. Meso fish,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sm. Meso fish,0.04,0.04,0.07,,,0.32,0.08,0.61,0.20,0.30,,,0.08,,0.02,,0.54,0.00,,0.05,,0.05,0.07,,,0.15,0.20,,,,,,,,,,,,,,,
19,Sm. Bathyp. fish,,,,,,,,,,0.11,,,,,,,0.03,,0.01,0.09,0.17,,,,,,,,,,,,,,,,,,,,,
20,Md. Bathyp.fish,,,,,,,,,,0.02,,,,,,,0.03,,,,0.17,,,,,,,,,,,,,,,,,,,,,
21,Lg. Bathyp. fish,,,,,0.07,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
22,Sm. Bathyd. slp,,,0.03,,,,0.05,,,0.00,0.11,,,,,,,,,0.00,0.00,0.04,0.22,,,,,0.10,,,,,,,,,,,,,,
23,Lg. Bathyd. slp,,0.00,0.03,,0.01,,,,,0.00,0.25,0.01,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,
24,Sm. Bathyd. abs,,0.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,
25,Lg. Bathyd. abs,,0.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Sm Squids,0.03,0.25,0.34,0.26,0.52,0.14,0.09,0.16,0.35,0.15,0.43,0.25,0.08,0.10,0.06,,0.21,,0.01,0.00,0.01,0.01,0.08,,,0.01,0.28,,,,,,,,,,,,,,,
27,Lg Squids,,0.54,0.35,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,
28,Benth. ceph.,,0.01,0.07,,,,,,,0.01,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,
29,Meiobenthos,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,0.00,,,0.30,0.01,0.05,0.05,,,,,,,,,,,
30,Macrobenthos,,0.01,0.07,,0.00,,,,,,,,0.06,0.00,0.03,,,,0.08,0.09,,0.23,0.16,0.65,0.05,,,0.30,,,,,,,,,,,,,,
31,Megabenthos,,,,,,,,,,,,,,,,,,,,,,0.15,0.20,0.09,0.53,,,0.20,,,,,,,,,,,,,,
32,Mesozooplankton,0.71,,,0.33,0.02,0.21,0.08,0.24,0.12,0.20,,,0.67,0.27,0.51,0.16,0.17,0.13,0.44,0.43,0.16,0.30,0.09,,,0.56,0.30,,,0.05,,,,,,,,,,,,
33,Microzooplankton,0.08,,,0.12,,0.00,,,,,,,0.00,0.01,0.06,0.78,,0.86,0.09,0.19,0.00,0.18,0.10,0.02,,0.20,,,,,,0.43,,,,,,,,,,
34,LL Procholorococcus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,
35,HL Procholorococcus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,
36,Synechococcus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40,,,,,,,,,
37,A. Eukaryotes,,,,,,,,,,,,,0.01,,0.02,0.01,,,,,,,,,,,,,,,,,0.42,,,,,,,,,
38,Diatoms,,,,,,,,,,,,,0.01,,0.02,0.01,,,,,,,,,,,,,,,,0.57,,,,,,,,,,
39,PO4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,
40,DOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Fast sinking detritus,,,,0.09,0.02,,,,,,,,,,0.04,0.03,,0.00,0.37,0.14,0.49,0.04,0.07,0.24,0.42,,,,0.99,0.90,0.95,,,,,,,,,,,
